Sample,even,location,logit,animal
PA.269459,0.366702252,h,-0.54639047,PA.269459
PA.269461,0.433827921,h,-0.2662501,PA.269461
PA.269619,0.440465066,h,-0.23927483,PA.269619
PA.269621,0.457208772,h,-0.17158465,PA.269621
PA.270612,0.269407742,h,-0.99762952,PA.270612
PA.270632,0.277251641,h,-0.95813557,PA.270632
PA.270634,0.465052671,h,-0.14001762,PA.270634
PA.270712,0.361724393,h,-0.5678876,PA.270712
PA.270792,0.614388429,h,0.46579678,PA.270792
PA.270794,0.588292382,h,0.35691064,PA.270794
PA.270812,0.269256898,h,-0.99839603,PA.270812
PA.270814,0.244970982,h,-1.12561642,PA.270814
PA.270832,0.346790817,h,-0.63317565,PA.270832
PA.270834,0.407279342,h,-0.37522393,PA.270834
PA.270872,0.324013343,h,-0.73538864,PA.270872
PA.270932,0.281022746,h,-0.93939411,PA.270932
PA.271020,0.30561035,h,-0.82072233,PA.271020
PA.271022,0.50381963,h,0.01527882,PA.271022
PA.271060,0.214952986,h,-1.29532427,PA.271060
PA.271062,0.379674853,h,-0.49092853,PA.271062
PA.271420,0.165928621,h,-1.61476128,PA.271420
PA.271422,0.241501565,h,-1.14446478,PA.271422
PA.271696,0.439409156,h,-0.24356031,PA.271696
PA.271776,0.298369829,h,-0.85507269,PA.271776
PA.271778,0.546961071,h,0.18839957,PA.271778
PA.271936,0.314359314,h,-0.77981707,PA.271936
PA.271938,0.409240316,h,-0.36710676,PA.271938
PA.272016,0.337891009,h,-0.6727068,PA.272016
PA.272018,0.385557777,h,-0.46602384,PA.272018
PA.272096,0.262468909,h,-1.03317561,PA.272096
PA.272116,0.126558284,h,-1.93173846,PA.272116
PA.272136,0.211483569,h,-1.31600594,PA.272136
PA.272138,0.339550296,h,-0.66529889,PA.272138
PA.272256,0.377563034,h,-0.49990483,PA.272256
PA.272276,0.243160851,h,-1.13542758,PA.272276
PA.272356,0.429604283,h,-0.28346585,PA.272356
PA.272358,0.495674043,h,-0.01730426,PA.272358
PA.272496,0.34437731,h,-0.64384757,PA.272496
PA.272676,0.381786672,h,-0.48197159,PA.272676
PA.272678,0.607298752,h,0.43597171,PA.272678
PA.272736,0.261111311,h,-1.04020049,PA.272736
PA.272738,0.364439589,h,-0.55614635,PA.272738
PA.272816,0.447554743,h,-0.21055549,PA.272816
PA.272836,0.322655745,h,-0.74159369,PA.272836
PA.272838,0.427039932,h,-0.2939385,PA.272838
PA.272896,0.232903446,h,-1.19198871,PA.272896
PA.272898,0.360668484,h,-0.57246391,PA.272898
PA.272916,0.439710845,h,-0.24233566,PA.272916
PA.272918,0.405469211,h,-0.38272756,PA.272918
PA.273076,0.177241936,h,-1.53514652,PA.273076
PA.273339,0.344829843,h,-0.6418439,PA.273339
PA.273341,0.333516528,h,-0.69232292,PA.273341
PA.273639,0.20001941,h,-1.38617305,PA.273639
PA.273659,0.273178847,h,-0.97855374,PA.273659
PA.273661,0.369115759,h,-0.53601209,PA.273661
PA.273719,0.27182125,h,-0.98540187,PA.273719
PA.274968,0.335477502,h,-0.68351384,PA.274968
PA.275002,0.433375388,h,-0.26809273,PA.275002
PA.275038,0.333818216,h,-0.690966,PA.275038
PA.275074,0.286754825,h,-0.91119764,PA.275074
PA.275182,0.29158184,h,-0.88771382,PA.275182
PA.275218,0.43593974,h,-0.25765707,PA.275218
PA.275290,0.319488017,h,-0.75612566,PA.275290
PA.275685,0.256435141,h,-1.06458023,PA.275685
PA.276705,0.285397228,h,-0.91784483,PA.276705
PA.276707,0.384652712,h,-0.46984592,PA.276707
249.1.02,0.806149898,gp,1.42518451,249
249.1.08,0.688147474,gp,0.79147276,249
249.1.11,0.71441468,gp,0.91692275,249
249.1.14,0.796816373,gp,1.36651412,249
249.1.16,0.766282413,gp,1.18743729,249
249.2.02,0.734681763,gp,1.01850743,249
249.2.05,0.705214491,gp,0.872254,249
249.2.08,0.705481163,gp,0.87353711,249
249.2.11,0.774815921,gp,1.23570728,249
249.2.14,0.793616308,gp,1.34686309,249
249.2.16,0.708947901,gp,0.89027976,249
253.1.02,0.733748411,gp,1.01372452,253
253.1.05,0.636946422,gp,0.56213512,253
253.1.11,0.819883514,gp,1.51555849,253
253.1.14,0.560678188,gp,0.2439149,253
253.1.16,0.712281303,gp,0.90648967,253
253.2.02,0.693614253,gp,0.81707106,253
253.2.05,0.694547605,gp,0.82146677,253
253.2.08,0.746015329,gp,1.07747223,253
253.2.11,0.827617006,gp,1.56883178,253
253.2.14,0.764282371,gp,1.17630272,253
253.2.16,0.553878048,gp,0.21635218,253
254.1.02,0.868951189,gp,1.8917171,254
254.1.05,0.807083251,gp,1.43116808,254
254.1.08,0.737615157,gp,1.03360993,254
254.1.11,0.742548592,gp,1.05925732,254
254.1.14,0.739481862,gp,1.04327727,254
254.1.16,0.844550687,gp,1.69248504,254
254.2.02,0.765082388,gp,1.18074866,254
254.2.05,0.84548404,gp,1.6996119,254
254.2.08,0.799216423,gp,1.38140418,254
254.2.11,0.755748863,gp,1.12951218,254
254.2.14,0.73921519,gp,1.04189348,254
254.2.16,0.759482273,gp,1.14984319,254
256.1.02,0.813883391,gp,1.47544369,256
256.1.05,0.913885446,gp,2.3620268,256
256.1.08,0.597345608,gp,0.39441725,256
256.1.11,0.696014302,gp,0.82838955,256
256.1.14,0.719614787,gp,0.94255163,256
256.1.16,0.778682667,gp,1.25800604,256
256.2.02,0.918018864,gp,2.41572877,256
256.2.05,0.757482232,gp,1.1389251,256
256.2.08,0.662413612,gp,0.67406871,256
256.2.11,0.725481574,gp,0.97181729,256
256.2.14,0.291072648,gp,-0.89018017,256
256.2.16,0.322139953,gp,-0.74395476,256
259.1.05,0.645879938,gp,0.60097762,259
259.1.08,0.744415297,gp,1.0690452,259
259.1.11,0.619612732,gp,0.4879048,259
259.1.14,0.756815551,gp,1.13529936,259
259.1.16,0.756948887,gp,1.13602397,259
259.2.02,0.843083991,gp,1.6813559,259
259.2.05,0.765749068,gp,1.18446163,259
259.2.08,0.693614253,gp,0.81707106,259
259.2.11,0.761482314,gp,1.16082348,259
259.2.14,0.799483095,gp,1.38306683,259
259.2.16,0.839350581,gp,1.65340401,259
246.1.02,0.756015535,gp,1.13095737,246
246.1.05,0.752815469,gp,1.11368499,246
246.1.08,0.504410365,gp,0.01764192,246
246.1.11,0.759615609,gp,1.15057326,246
246.1.14,0.708414557,gp,0.88769638,246
246.1.16,0.778816003,gp,1.2587799,246
246.2.02,0.785216135,gp,1.29632677,246
246.2.05,0.802949833,gp,1.40483389,246
246.2.08,0.740281878,gp,1.04743413,246
246.2.11,0.73988187,gp,1.04535466,246
246.2.14,0.585745369,gp,0.34640434,246
246.2.16,0.793216299,gp,1.34442262,246
247.1.02,0.718681434,gp,0.93793048,247
247.1.05,0.72801496,gp,0.98457453,247
247.1.08,0.730815017,gp,0.99876156,247
247.1.11,0.707481204,gp,0.88318214,247
247.1.14,0.642813209,gp,0.58759531,247
247.1.16,0.895485067,gp,2.14803559,247
247.2.02,0.781216053,gp,1.27276705,247
247.2.05,0.801083128,gp,1.39307771,247
247.2.08,0.743481944,gp,1.06414542,247
247.2.11,0.773749233,gp,1.22960386,247
247.2.16,0.720014795,gp,0.944535,247
250.1.02,0.697214327,gp,0.83406766,250
250.1.05,0.715748041,gp,0.92346718,250
250.1.08,0.817750137,gp,1.50117821,250
250.1.11,0.711614623,gp,0.9032388,250
250.1.14,0.510943832,gp,0.04378232,250
250.1.16,0.762415666,gp,1.16596925,250
250.2.02,0.816816784,gp,1.49492798,250
250.2.05,0.75414883,gp,1.12086338,250
250.2.08,0.75041542,gp,1.10082909,250
250.2.11,0.673480506,gp,0.7239694,250
250.2.14,0.782416077,gp,1.27980204,250
250.2.16,0.681614006,gp,0.76119906,250
252.1.02,0.696147638,gp,0.82901983,252
